video,words,glosses,spoken_language,signed_language,start,end,priority,person_id
38532,no,no,en,ase,0,0,0,11
38527,no,no,en,ase,0,0,1,34
38530,no,no,en,ase,0,0,2,35
38533,no,no,en,ase,0,0,3,11
38534,no,no,en,ase,0,0,4,1
38525,no,no,en,ase,0,0,5,4
69411,no,no,en,ase,0,0,6,5
66183,no,no,en,ase,0,0,7,36
38538,no,no,en,ase,0,0,8,6
38482,no,no,en,ase,0,0,9,18
38524,no,no,en,ase,0,0,10,19
38541,no,no,en,ase,0,0,11,6
38540,no,no,en,ase,0,0,12,6
38539,no,no,en,ase,0,0,13,32
38529,no,no,en,ase,0,0,14,24
68110,no,no,en,ase,0,0,15,2
57936,thin,thin,en,ase,0,0,0,21
57940,thin,thin,en,ase,0,0,1,9
57941,thin,thin,en,ase,0,0,2,21
57937,thin,thin,en,ase,0,0,3,17
57939,thin,thin,en,ase,0,0,4,28
57947,thin,thin,en,ase,0,0,5,-1
57919,thin,thin,en,ase,0,0,6,18
57948,thin,thin,en,ase,0,0,7,11
57949,thin,thin,en,ase,0,0,8,11
66606,thin,thin,en,ase,0,0,9,37
57950,thin,thin,en,ase,0,0,10,-1
66607,thin,thin,en,ase,0,0,11,36
57942,thin,thin,en,ase,0,0,12,11
57934,thin,thin,en,ase,0,0,13,20
57935,thin,thin,en,ase,0,0,14,20
57933,thin,thin,en,ase,0,0,15,19
57943,thin,thin,en,ase,0,0,16,38
62160,walk,walk,en,ase,0,0,0,28
62163,walk,walk,en,ase,0,0,1,28
62170,walk,walk,en,ase,0,0,2,1
66743,walk,walk,en,ase,0,0,3,39
62152,walk,walk,en,ase,0,0,4,18
62169,walk,walk,en,ase,0,0,5,11
66742,walk,walk,en,ase,0,0,6,36
62168,walk,walk,en,ase,0,0,7,11
62171,walk,walk,en,ase,0,0,8,6
62173,walk,walk,en,ase,0,0,9,6
62164,walk,walk,en,ase,0,0,10,24
62159,walk,walk,en,ase,0,0,11,4
62158,walk,walk,en,ase,0,0,12,19
68177,walk,walk,en,ase,0,0,13,2
64219,year,year,en,ase,0,0,0,1
64211,year,year,en,ase,0,0,1,17
64212,year,year,en,ase,0,0,2,17
66818,year,year,en,ase,0,0,3,17
66816,year,year,en,ase,0,0,4,36
64218,year,year,en,ase,0,0,5,1
64209,year,year,en,ase,0,0,6,26
64201,year,year,en,ase,0,0,7,18
64210,year,year,en,ase,0,0,8,4
64221,year,year,en,ase,0,0,9,6
68190,year,year,en,ase,0,0,10,2
64222,year,year,en,ase,0,0,11,6
64213,year,year,en,ase,0,0,12,24
70306,year,year,en,ase,0,0,13,8
64283,yes,yes,en,ase,0,0,0,-1
64292,yes,yes,en,ase,0,0,1,7
66820,yes,yes,en,ase,0,0,2,17
64297,yes,yes,en,ase,0,0,3,6
64293,yes,yes,en,ase,0,0,4,11
64288,yes,yes,en,ase,0,0,5,7
64291,yes,yes,en,ase,0,0,6,11
64284,yes,yes,en,ase,0,0,7,34
64294,yes,yes,en,ase,0,0,8,6
64295,yes,yes,en,ase,0,0,9,6
64280,yes,yes,en,ase,0,0,10,40
64287,yes,yes,en,ase,0,0,11,24
64275,yes,yes,en,ase,0,0,12,18
64281,yes,yes,en,ase,0,0,13,4
69546,yes,yes,en,ase,0,0,14,5
68192,yes,yes,en,ase,0,0,15,41
64296,yes,yes,en,ase,0,0,16,32
01991,all,all,en,ase,0,0,0,11
01912,all,all,en,ase,0,0,1,18
01992,all,all,en,ase,0,0,2,11
65043,all,all,en,ase,0,0,3,17
02000,all,all,en,ase,0,0,4,6
68001,all,all,en,ase,0,0,5,2
01997,all,all,en,ase,0,0,6,6
01987,all,all,en,ase,0,0,7,20
01996,all,all,en,ase,0,0,8,6
01986,all,all,en,ase,0,0,9,15
69206,all,all,en,ase,0,0,10,12
01995,all,all,en,ase,0,0,11,6
01988,all,all,en,ase,0,0,12,24
06477,black,black,en,ase,0,0,0,1
06476,black,black,en,ase,0,0,1,1
06478,black,black,en,ase,0,0,2,1
65200,black,black,en,ase,0,0,3,3
06455,black,black,en,ase,0,0,4,18
06473,black,black,en,ase,0,0,5,17
06482,black,black,en,ase,0,0,6,6
69236,black,black,en,ase,0,0,7,5
06471,black,black,en,ase,0,0,8,9
06474,black,black,en,ase,0,0,9,7
06483,black,black,en,ase,0,0,10,6
06480,black,black,en,ase,0,0,11,6
06472,black,black,en,ase,0,0,12,4
70244,black,black,en,ase,0,0,13,-1
06481,black,black,en,ase,0,0,14,32
13200,cool,cool,en,ase,0,0,0,17
13197,cool,cool,en,ase,0,0,1,17
13196,cool,cool,en,ase,0,0,2,17
13198,cool,cool,en,ase,0,0,3,17
65402,cool,cool,en,ase,0,0,4,28
13213,cool,cool,en,ase,0,0,5,11
13199,cool,cool,en,ase,0,0,6,17
13208,cool,cool,en,ase,0,0,7,11
13203,cool,cool,en,ase,0,0,8,17
13209,cool,cool,en,ase,0,0,9,11
65403,cool,cool,en,ase,0,0,10,30
13202,cool,cool,en,ase,0,0,11,7
69281,cool,cool,en,ase,0,0,12,42
13214,cool,cool,en,ase,0,0,13,6
13201,cool,cool,en,ase,0,0,14,7
70271,cool,cool,en,ase,0,0,15,-1
21943,finish,finish,en,ase,0,0,0,21
21950,finish,finish,en,ase,0,0,1,1
21951,finish,finish,en,ase,0,0,2,1
21944,finish,finish,en,ase,0,0,3,15
65721,finish,finish,en,ase,0,0,4,10
21949,finish,finish,en,ase,0,0,5,11
21953,finish,finish,en,ase,0,0,6,6
21933,finish,finish,en,ase,0,0,7,18
21941,finish,finish,en,ase,0,0,8,43
21942,finish,finish,en,ase,0,0,9,4
21945,finish,finish,en,ase,0,0,10,14
21954,finish,finish,en,ase,0,0,11,6
21955,finish,finish,en,ase,0,0,12,6
21952,finish,finish,en,ase,0,0,13,6
68050,finish,finish,en,ase,0,0,14,2
70361,finish,finish,en,ase,0,0,15,8
28115,hot,hot,en,ase,0,0,0,1
28110,hot,hot,en,ase,0,0,1,9
28111,hot,hot,en,ase,0,0,2,28
28074,hot,hot,en,ase,0,0,3,18
28116,hot,hot,en,ase,0,0,4,1
28118,hot,hot,en,ase,0,0,5,6
28121,hot,hot,en,ase,0,0,6,6
69368,hot,hot,en,ase,0,0,7,5
28109,hot,hot,en,ase,0,0,8,13
28108,hot,hot,en,ase,0,0,9,4
28112,hot,hot,en,ase,0,0,10,14
28107,hot,hot,en,ase,0,0,11,25
28122,hot,hot,en,ase,0,0,12,6
70270,hot,hot,en,ase,0,0,13,8
28119,hot,hot,en,ase,0,0,14,33
28120,hot,hot,en,ase,0,0,15,33
33274,like,like,en,ase,0,0,0,1
33273,like,like,en,ase,0,0,1,1
33268,like,like,en,ase,0,0,2,31
69389,like,like,en,ase,0,0,3,5
33266,like,like,en,ase,0,0,4,43
33269,like,like,en,ase,0,0,5,24
33267,like,like,en,ase,0,0,6,20
33270,like,like,en,ase,0,0,7,24
33277,like,like,en,ase,0,0,8,6
68093,like,like,en,ase,0,0,9,2
33278,like,like,en,ase,0,0,10,44
33281,like,like,en,ase,0,0,11,6
33282,like,like,en,ase,0,0,12,6
70299,like,like,en,ase,0,0,13,8
33279,like,like,en,ase,0,0,14,6
33280,like,like,en,ase,0,0,15,6
34830,many,many,en,ase,0,0,0,1
34826,many,many,en,ase,0,0,1,9
34832,many,many,en,ase,0,0,2,1
34825,many,many,en,ase,0,0,3,9
34831,many,many,en,ase,0,0,4,1
34822,many,many,en,ase,0,0,5,18
34824,many,many,en,ase,0,0,6,20
34836,many,many,en,ase,0,0,7,6
34823,many,many,en,ase,0,0,8,15
34827,many,many,en,ase,0,0,9,24
69396,many,many,en,ase,0,0,10,12
34834,many,many,en,ase,0,0,11,6
34835,many,many,en,ase,0,0,12,6
70308,many,many,en,ase,0,0,13,-1
36936,mother,mother,en,ase,0,0,0,1
36937,mother,mother,en,ase,0,0,1,1
36927,mother,mother,en,ase,0,0,2,18
66146,mother,mother,en,ase,0,0,3,3
36929,mother,mother,en,ase,0,0,4,19
66147,mother,mother,en,ase,0,0,5,45
36930,mother,mother,en,ase,0,0,6,4
36940,mother,mother,en,ase,0,0,7,6
36939,mother,mother,en,ase,0,0,8,6
36933,mother,mother,en,ase,0,0,9,24
36932,mother,mother,en,ase,0,0,10,13
36942,mother,mother,en,ase,0,0,11,6
69402,mother,mother,en,ase,0,0,12,42
36931,mother,mother,en,ase,0,0,13,17
36944,mother,mother,en,ase,0,0,14,-1
36938,mother,mother,en,ase,0,0,15,6
36941,mother,mother,en,ase,0,0,16,-1
38982,now,now,en,ase,0,0,0,18
38999,now,now,en,ase,0,0,1,1
39000,now,now,en,ase,0,0,2,1
38997,now,now,en,ase,0,0,3,1
69413,now,now,en,ase,0,0,4,5
39003,now,now,en,ase,0,0,5,6
38994,now,now,en,ase,0,0,6,25
38990,now,now,en,ase,0,0,7,15
38991,now,now,en,ase,0,0,8,9
39001,now,now,en,ase,0,0,9,6
39002,now,now,en,ase,0,0,10,6
39004,now,now,en,ase,0,0,11,6
38995,now,now,en,ase,0,0,12,15
68114,now,now,en,ase,0,0,13,2
70345,now,now,en,ase,0,0,14,8
40117,orange,orange,en,ase,0,0,0,28
40121,orange,orange,en,ase,0,0,1,1
69422,orange,orange,en,ase,0,0,2,5
40114,orange,orange,en,ase,0,0,3,18
68122,orange,orange,en,ase,0,0,4,27
66246,orange,orange,en,ase,0,0,5,30
40116,orange,orange,en,ase,0,0,6,4
40115,orange,orange,en,ase,0,0,7,15
40118,orange,orange,en,ase,0,0,8,24
40119,orange,orange,en,ase,0,0,9,24
70310,orange,orange,en,ase,0,0,10,-1
40123,orange,orange,en,ase,0,0,11,6
40126,orange,orange,en,ase,0,0,12,32
70249,orange,orange,en,ase,0,0,13,8
40122,orange,orange,en,ase,0,0,14,6
56557,table,table,en,ase,0,0,0,17
56563,table,table,en,ase,0,0,1,1
56552,table,table,en,ase,0,0,2,18
56556,table,table,en,ase,0,0,3,20
56567,table,table,en,ase,0,0,4,6
70323,table,table,en,ase,0,0,5,-1
56558,table,table,en,ase,0,0,6,24
56566,table,table,en,ase,0,0,7,6
57632,thanksgiving,thanksgiving,en,ase,0,0,0,17
57641,thanksgiving,thanksgiving,en,ase,0,0,1,1
57640,thanksgiving,thanksgiving,en,ase,0,0,2,11
57642,thanksgiving,thanksgiving,en,ase,0,0,3,6
57634,thanksgiving,thanksgiving,en,ase,0,0,4,7
57638,thanksgiving,thanksgiving,en,ase,0,0,5,11
57639,thanksgiving,thanksgiving,en,ase,0,0,6,11
57630,thanksgiving,thanksgiving,en,ase,0,0,7,20
57631,thanksgiving,thanksgiving,en,ase,0,0,8,20
57643,thanksgiving,thanksgiving,en,ase,0,0,9,6
57629,thanksgiving,thanksgiving,en,ase,0,0,10,15
57635,thanksgiving,thanksgiving,en,ase,0,0,11,7
57645,thanksgiving,thanksgiving,en,ase,0,0,12,6
57633,thanksgiving,thanksgiving,en,ase,0,0,13,24
57628,thanksgiving,thanksgiving,en,ase,0,0,14,8
62966,what,what,en,ase,0,0,0,17
62967,what,what,en,ase,0,0,1,28
62944,what,what,en,ase,0,0,2,18
62979,what,what,en,ase,0,0,3,1
62968,what,what,en,ase,0,0,4,21
66769,what,what,en,ase,0,0,5,23
62975,what,what,en,ase,0,0,6,11
62984,what,what,en,ase,0,0,7,6
69531,what,what,en,ase,0,0,8,5
62965,what,what,en,ase,0,0,9,4
62970,what,what,en,ase,0,0,10,11
62964,what,what,en,ase,0,0,11,26
63667,woman,woman,en,ase,0,0,0,17
63672,woman,woman,en,ase,0,0,1,1
63668,woman,woman,en,ase,0,0,2,28
63673,woman,woman,en,ase,0,0,3,1
66798,woman,woman,en,ase,0,0,4,23
66799,woman,woman,en,ase,0,0,5,23
63676,woman,woman,en,ase,0,0,6,6
63662,woman,woman,en,ase,0,0,7,18
63666,woman,woman,en,ase,0,0,8,4
63665,woman,woman,en,ase,0,0,9,4
63675,woman,woman,en,ase,0,0,10,6
63677,woman,woman,en,ase,0,0,11,6
63669,woman,woman,en,ase,0,0,12,24
63664,woman,woman,en,ase,0,0,13,26
68187,woman,woman,en,ase,0,0,14,2
05631,bed,bed,en,ase,0,0,0,17
05633,bed,bed,en,ase,0,0,1,17
05632,bed,bed,en,ase,0,0,2,17
05638,bed,bed,en,ase,0,0,3,1
05628,bed,bed,en,ase,0,0,4,18
05637,bed,bed,en,ase,0,0,5,11
65162,bed,bed,en,ase,0,0,6,40
65161,bed,bed,en,ase,0,0,7,17
65163,bed,bed,en,ase,0,0,8,28
05639,bed,bed,en,ase,0,0,9,6
05636,bed,bed,en,ase,0,0,10,11
05629,bed,bed,en,ase,0,0,11,15
05630,bed,bed,en,ase,0,0,12,20
05641,bed,bed,en,ase,0,0,13,6
05634,bed,bed,en,ase,0,0,14,2
06839,blue,blue,en,ase,0,0,0,11
06834,blue,blue,en,ase,0,0,1,22
68010,blue,blue,en,ase,0,0,2,27
65216,blue,blue,en,ase,0,0,3,3
06822,blue,blue,en,ase,0,0,4,18
69238,blue,blue,en,ase,0,0,5,5
06840,blue,blue,en,ase,0,0,6,6
06832,blue,blue,en,ase,0,0,7,43
06833,blue,blue,en,ase,0,0,8,4
06835,blue,blue,en,ase,0,0,9,-1
06842,blue,blue,en,ase,0,0,10,6
06841,blue,blue,en,ase,0,0,11,32
07391,bowling,bowling,en,ase,0,0,0,0
07390,bowling,bowling,en,ase,0,0,1,0
07392,bowling,bowling,en,ase,0,0,2,0
07400,bowling,bowling,en,ase,0,0,3,-1
07383,bowling,bowling,en,ase,0,0,4,18
07397,bowling,bowling,en,ase,0,0,5,1
07398,bowling,bowling,en,ase,0,0,6,1
07393,bowling,bowling,en,ase,0,0,7,17
65241,bowling,bowling,en,ase,0,0,8,3
07399,bowling,bowling,en,ase,0,0,9,1
07388,bowling,bowling,en,ase,0,0,10,2
07401,bowling,bowling,en,ase,0,0,11,6
07402,bowling,bowling,en,ase,0,0,12,6
07389,bowling,bowling,en,ase,0,0,13,20
65242,bowling,bowling,en,ase,0,0,14,46
07394,bowling,bowling,en,ase,0,0,15,7
08944,can,can,en,ase,0,0,0,1
08942,can,can,en,ase,0,0,1,1
65294,can,can,en,ase,0,0,2,3
69257,can,can,en,ase,0,0,3,5
08938,can,can,en,ase,0,0,4,7
08935,can,can,en,ase,0,0,5,20
08936,can,can,en,ase,0,0,6,13
08945,can,can,en,ase,0,0,7,6
08946,can,can,en,ase,0,0,8,6
08948,can,can,en,ase,0,0,9,6
08937,can,can,en,ase,0,0,10,7
17091,dog,dog,en,ase,0,0,0,-1
17090,dog,dog,en,ase,0,0,1,-1
65507,dog,dog,en,ase,0,0,2,28
17084,dog,dog,en,ase,0,0,3,43
17083,dog,dog,en,ase,0,0,4,43
17076,dog,dog,en,ase,0,0,5,18
17086,dog,dog,en,ase,0,0,6,4
65506,dog,dog,en,ase,0,0,7,30
17085,dog,dog,en,ase,0,0,8,20
17093,dog,dog,en,ase,0,0,9,6
69298,dog,dog,en,ase,0,0,10,5
17087,dog,dog,en,ase,0,0,11,14
68035,dog,dog,en,ase,0,0,12,2
17095,dog,dog,en,ase,0,0,13,6
20982,family,family,en,ase,0,0,0,9
20976,family,family,en,ase,0,0,1,18
20987,family,family,en,ase,0,0,2,1
20986,family,family,en,ase,0,0,3,1
65677,family,family,en,ase,0,0,4,47
20989,family,family,en,ase,0,0,5,6
20988,family,family,en,ase,0,0,6,6
20990,family,family,en,ase,0,0,7,6
20981,family,family,en,ase,0,0,8,13
20979,family,family,en,ase,0,0,9,43
20980,family,family,en,ase,0,0,10,4
69316,family,family,en,ase,0,0,11,42
20983,family,family,en,ase,0,0,12,14
20978,family,family,en,ase,0,0,13,48
22116,fish,fish,en,ase,0,0,0,21
22120,fish,fish,en,ase,0,0,1,1
65731,fish,fish,en,ase,0,0,2,10
22109,fish,fish,en,ase,0,0,3,18
22121,fish,fish,en,ase,0,0,4,1
22127,fish,fish,en,ase,0,0,5,6
22115,fish,fish,en,ase,0,0,6,20
22113,fish,fish,en,ase,0,0,7,48
22117,fish,fish,en,ase,0,0,8,14
22128,fish,fish,en,ase,0,0,9,6
22114,fish,fish,en,ase,0,0,10,25
22126,fish,fish,en,ase,0,0,11,6
69325,fish,fish,en,ase,0,0,12,42
22125,fish,fish,en,ase,0,0,13,33
25318,graduate,graduate,en,ase,0,0,0,8
25323,graduate,graduate,en,ase,0,0,1,15
25324,graduate,graduate,en,ase,0,0,2,16
25325,graduate,graduate,en,ase,0,0,3,16
25329,graduate,graduate,en,ase,0,0,4,1
25322,graduate,graduate,en,ase,0,0,5,20
25330,graduate,graduate,en,ase,0,0,6,1
25326,graduate,graduate,en,ase,0,0,7,14
65843,graduate,graduate,en,ase,0,0,8,36
25333,graduate,graduate,en,ase,0,0,9,6
25321,graduate,graduate,en,ase,0,0,10,25
25332,graduate,graduate,en,ase,0,0,11,6
70176,graduate,graduate,en,ase,0,0,12,-1
26719,hat,hat,en,ase,0,0,0,1
26714,hat,hat,en,ase,0,0,1,21
26717,hat,hat,en,ase,0,0,2,11
26688,hat,hat,en,ase,0,0,3,18
26713,hat,hat,en,ase,0,0,4,20
68068,hat,hat,en,ase,0,0,5,2
26723,hat,hat,en,ase,0,0,6,6
26715,hat,hat,en,ase,0,0,7,14
26712,hat,hat,en,ase,0,0,8,49
69359,hat,hat,en,ase,0,0,9,25
26724,hat,hat,en,ase,0,0,10,6
26721,hat,hat,en,ase,0,0,11,33
26973,hearing,hearing,en,ase,0,0,0,16
26974,hearing,hearing,en,ase,0,0,1,17
26980,hearing,hearing,en,ase,0,0,2,1
26986,hearing,hearing,en,ase,0,0,3,6
26972,hearing,hearing,en,ase,0,0,4,4
26985,hearing,hearing,en,ase,0,0,5,6
65884,hearing,hearing,en,ase,0,0,6,36
26975,hearing,hearing,en,ase,0,0,7,14
26976,hearing,hearing,en,ase,0,0,8,7
26984,hearing,hearing,en,ase,0,0,9,6
70016,hearing,hearing,en,ase,0,0,10,-1
26971,hearing,hearing,en,ase,0,0,11,25
68070,hearing,hearing,en,ase,0,0,12,2
26982,hearing,hearing,en,ase,0,0,13,32
26983,hearing,hearing,en,ase,0,0,14,6
31752,kiss,kiss,en,ase,0,0,0,0
31750,kiss,kiss,en,ase,0,0,1,0
31751,kiss,kiss,en,ase,0,0,2,0
31755,kiss,kiss,en,ase,0,0,3,1
31756,kiss,kiss,en,ase,0,0,4,1
31757,kiss,kiss,en,ase,0,0,5,6
31765,kiss,kiss,en,ase,0,0,6,6
31749,kiss,kiss,en,ase,0,0,7,20
31753,kiss,kiss,en,ase,0,0,8,14
65996,kiss,kiss,en,ase,0,0,9,3
31759,kiss,kiss,en,ase,0,0,10,6
31746,kiss,kiss,en,ase,0,0,11,8
31758,kiss,kiss,en,ase,0,0,12,6
31762,kiss,kiss,en,ase,0,0,13,33
32146,language,language,en,ase,0,0,0,18
32163,language,language,en,ase,0,0,1,1
32155,language,language,en,ase,0,0,2,17
32156,language,language,en,ase,0,0,3,17
32158,language,language,en,ase,0,0,4,17
32157,language,language,en,ase,0,0,5,17
66007,language,language,en,ase,0,0,6,3
