video,gloss
36937,mother
36938,mother
66147,mother
66146,mother
36929,mother
36939,mother
36940,mother
36941,mother
36942,mother
36944,mother
38982,now
69413,now
38994,now
70345,now
68114,now
38999,now
39000,now
39001,now
39002,now
39003,now
38990,now
39004,now
39006,now
38991,now
38995,now
38997,now
40114,orange
69422,orange
70310,orange
70249,orange
68122,orange
40115,orange
40116,orange
40117,orange
40118,orange
40119,orange
40121,orange
40122,orange
40123,orange
66246,orange
40126,orange
40129,orange
40130,orange
56552,table
70323,table
56557,table
56579,table
56558,table
56556,table
56563,table
56566,table
56567,table
57645,thanksgiving
57628,thanksgiving
57647,thanksgiving
57629,thanksgiving
57630,thanksgiving
57631,thanksgiving
57632,thanksgiving
57633,thanksgiving
57634,thanksgiving
57635,thanksgiving
57638,thanksgiving
57639,thanksgiving
57640,thanksgiving
57641,thanksgiving
57642,thanksgiving
57643,thanksgiving
62944,what
69531,what
62967,what
62968,what
62970,what
62984,what
66769,what
62987,what
62964,what
62988,what
62975,what
62965,what
62979,what
62966,what
63662,woman
68187,woman
63679,woman
63665,woman
63666,woman
63667,woman
63668,woman
63669,woman
63672,woman
63673,woman
66798,woman
66799,woman
63664,woman
63675,woman
63676,woman
63677,woman
05628,bed
05644,bed
05629,bed
05630,bed
05631,bed
05632,bed
05633,bed
05634,bed
05636,bed
65162,bed
05637,bed
65163,bed
65161,bed
05638,bed
05639,bed
05641,bed
06822,blue
69238,blue
68010,blue
06835,blue
06839,blue
06840,blue
06841,blue
65216,blue
06832,blue
06842,blue
06845,blue
06833,blue
06834,blue
07383,bowling
07389,bowling
07390,bowling
07391,bowling
07392,bowling
07393,bowling
07394,bowling
07397,bowling
65242,bowling
65241,bowling
07388,bowling
07398,bowling
07399,bowling
07400,bowling
07401,bowling
07402,bowling
69257,can
65294,can
08955,can
08935,can
08936,can
08937,can
08938,can
08942,can
08944,can
08945,can
08946,can
08948,can
17076,dog
69298,dog
68035,dog
17097,dog
17084,dog
17085,dog
17086,dog
17087,dog
17090,dog
17091,dog
65506,dog
65507,dog
17083,dog
17093,dog
17095,dog
20976,family
69316,family
20980,family
20981,family
20982,family
20983,family
20986,family
20987,family
65677,family
20978,family
20988,family
20989,family
20990,family
20992,family
20979,family
22109,fish
69325,fish
22130,fish
22114,fish
22115,fish
22116,fish
22117,fish
22120,fish
22121,fish
65731,fish
22113,fish
22125,fish
22126,fish
22127,fish
22128,fish
25318,graduate
70176,graduate
25339,graduate
25322,graduate
25323,graduate
25324,graduate
25325,graduate
25326,graduate
65843,graduate
25329,graduate
25330,graduate
25321,graduate
25332,graduate
25333,graduate
26688,hat
69359,hat
68068,hat
26713,hat
26712,hat
26739,hat
26741,hat
26714,hat
26715,hat
26717,hat
26719,hat
26721,hat
26723,hat
26724,hat
65884,hearing
70016,hearing
68070,hearing
26972,hearing
26973,hearing
26974,hearing
26975,hearing
26976,hearing
26971,hearing
26980,hearing
26982,hearing
26983,hearing
26984,hearing
26985,hearing
26986,hearing
31746,kiss
31765,kiss
31767,kiss
31750,kiss
31751,kiss
31752,kiss
31753,kiss
31755,kiss
31756,kiss
65996,kiss
31757,kiss
31758,kiss
31749,kiss
31759,kiss
31762,kiss
32146,language
68084,language
68085,language
32156,language
32157,language
32158,language
32160,language
32163,language
66008,language
66007,language
32154,language
32164,language
32167,language
32155,language
32319,later
32335,later
32337,later
32338,later
32320,later
32321,later
32322,later
32323,later
32324,later
32325,later
66015,later
32326,later
66014,later
32333,later
32334,later
34685,man
69395,man
34746,man
34733,man
34734,man
34736,man
34737,man
34738,man
66098,man
66099,man
66097,man
34732,man
34742,man
34743,man
34744,man
51054,shirt
51057,shirt
51081,shirt
51056,shirt
51058,shirt
51059,shirt
51060,shirt
51061,shirt
51063,shirt
51064,shirt
51066,shirt
51067,shirt
51068,shirt
51069,shirt
51071,shirt
51072,shirt
55356,study
68162,study
55364,study
55365,study
55366,study
55368,study
55369,study
55370,study
66575,study
55361,study
55371,study
55372,study
55373,study
55375,study
55362,study
55363,study
56835,tall
56852,tall
56838,tall
56839,tall
56840,tall
56841,tall
56842,tall
56843,tall
56844,tall
66591,tall
56846,tall
66592,tall
56837,tall
56848,tall
56849,tall
56850,tall
63191,white
69533,white
68182,white
70245,white
63204,white
63205,white
63207,white
63208,white
63200,white
63210,white
63211,white
63212,white
63214,white
63201,white
63202,white
63203,white
64082,wrong
68189,wrong
70296,wrong
70132,wrong
64087,wrong
64088,wrong
64090,wrong
64091,wrong
64092,wrong
64093,wrong
64084,wrong
64094,wrong
64095,wrong
64097,wrong
64085,wrong
64086,wrong
00618,accident
00639,accident
00624,accident
00625,accident
00626,accident
00627,accident
00628,accident
00629,accident
00631,accident
00632,accident
65009,accident
00623,accident
00633,accident
00634,accident
00635,accident
02997,apple
69213,apple
68003,apple
70309,apple
03005,apple
03006,apple
03008,apple
65085,apple
65086,apple
65084,apple
02999,apple
03000,apple
03001,apple
03002,apple
03003,apple
06326,bird
69233,bird
70107,bird
06333,bird
06334,bird
06335,bird
06337,bird
06338,bird
65187,bird
06330,bird
06340,bird
06341,bird
06343,bird
06331,bird
06332,bird
09945,change
70379,change
09966,change
09967,change
09968,change
09950,change
09970,change
09953,change
09954,change
09955,change
09956,change
09957,change
09949,change
09960,change
09963,change
11752,color
69274,color
68027,color
11772,color
11773,color
11774,color
11775,color
11776,color
11767,color
11777,color
11778,color
11780,color
11768,color
11769,color
11770,color
13309,corn
69282,corn
13337,corn
13325,corn
13326,corn
13327,corn
13328,corn
13329,corn
65408,corn
65409,corn
13323,corn
13333,corn
13334,corn
13681,cow
69283,cow
13697,cow
13698,cow
13699,cow
13702,cow
13703,cow
13704,cow
13695,cow
13705,cow
13707,cow
13708,cow
13710,cow
13696,cow
14621,dance
68032,dance
70152,dance
14627,dance
14628,dance
14630,dance
65434,dance
14631,dance
14633,dance
14622,dance
14623,dance
14624,dance
14625,dance
14669,dark
69290,dark
14673,dark
14674,dark
14675,dark
14676,dark
14680,dark
65439,dark
65440,dark
14671,dark
14681,dark
14682,dark
14685,dark
14672,dark
17007,doctor
70049,doctor
17015,doctor
17016,doctor
17017,doctor
17019,doctor
17020,doctor
17022,doctor
65503,doctor
65504,doctor
17013,doctor
17023,doctor
17026,doctor
17014,doctor
18316,eat
69307,eat
68044,eat
18329,eat
18331,eat
18332,eat
65601,eat
18323,eat
18335,eat
18324,eat
18325,eat
19255,enjoy
68046,enjoy
70051,enjoy
19261,enjoy
19264,enjoy
19266,enjoy
65635,enjoy
19257,enjoy
19267,enjoy
19269,enjoy
19258,enjoy
19259,enjoy
19260,enjoy
65761,forget
68053,forget
68054,forget
70376,forget
22954,forget
22955,forget
22960,forget
22961,forget
22962,forget
22963,forget
22964,forget
22965,forget
22967,forget
22952,forget
22953,forget
69343,give
24655,give
24657,give
24658,give
24660,give
24638,give
24639,give
24640,give
24641,give
24636,give
24648,give
24649,give
24651,give
24652,give
66010,last
68086,last
32263,last
32248,last
32249,last
32250,last
32253,last
32254,last
32255,last
32246,last
32257,last
32258,last
32260,last
32261,last
35506,meet
68099,meet
35511,meet
35512,meet
35513,meet
35516,meet
35517,meet
35518,meet
66112,meet
35509,meet
35519,meet
35520,meet
35521,meet
35523,meet
42827,pink
69430,pink
68132,pink
70246,pink
42831,pink
42832,pink
42833,pink
42836,pink
42838,pink
66296,pink
42829,pink
42840,pink
42843,pink
42830,pink
42953,pizza
69431,pizza
42974,pizza
42977,pizza
42958,pizza
42959,pizza
42960,pizza
42961,pizza
66297,pizza
42962,pizza
42956,pizza
42966,pizza
42967,pizza
42969,pizza
42971,pizza
42972,pizza
69433,play
43166,play
68133,play
43170,play
43171,play
43173,play
43174,play
43175,play
43179,play
43180,play
43167,play
43168,play
43169,play
49577,school
69455,school
70207,school
68145,school
49602,school
49603,school
49595,school
49606,school
49596,school
49597,school
49598,school
49599,school
49600,school
50036,secretary
50037,secretary
50038,secretary
50039,secretary
50040,secretary
50041,secretary
50044,secretary
50045,secretary
66441,secretary
50046,secretary
50047,secretary
50048,secretary
50049,secretary
50050,secretary
50052,secretary
51206,short
70355,short
51221,short
51223,short
51224,short
51225,short
51226,short
51227,short
66469,short
51220,short
51231,short
51232,short
51233,short
51235,short
51236,short
58488,time
69511,time
70356,time
68171,time
58502,time
58503,time
58504,time
66644,time
58497,time
58508,time
58498,time
58499,time
62241,want
69524,want
68178,want
62246,want
62247,want
62248,want
62250,want
62251,want
62253,want
62244,want
62254,want
62259,want
62245,want
63769,work
63806,work
63789,work
63790,work
63791,work
63792,work
63793,work
63795,work
66804,work
63788,work
63799,work
63801,work
63803,work
01382,africa
01383,africa
01384,africa
01385,africa
01386,africa
01387,africa
01388,africa
01391,africa
65029,africa
01392,africa
01393,africa
01394,africa
01395,africa
01398,africa
05227,basketball
69225,basketball
05230,basketball
05231,basketball
05232,basketball
05233,basketball
05234,basketball
05238,basketball
65144,basketball
65145,basketball
05229,basketball
05239,basketball
05241,basketball
05243,basketball
06355,birthday
65192,birthday
70357,birthday
70359,birthday
06365,birthday
06366,birthday
06367,birthday
06368,birthday
06359,birthday
06369,birthday
06371,birthday
06360,birthday
06363,birthday
07957,brown
69252,brown
70242,brown
07963,brown
07966,brown
07967,brown
07968,brown
65263,brown
07960,brown
07971,brown
07973,brown
07961,brown
07962,brown
08421,but
68016,but
08429,but
08431,but
08432,but
08433,but
65278,but
08424,but
08434,but
08435,but
08437,but
08425,but
08426,but
10146,cheat
10161,cheat
10147,cheat
10166,cheat
10148,cheat
10149,cheat
65341,cheat
10151,cheat
65342,cheat
10157,cheat
10158,cheat
10159,cheat
10160,cheat
10888,city
69269,city
10895,city
10898,city
10899,city
10900,city
10901,city
65362,city
65363,city
10892,city
10902,city
10904,city
10893,city
10894,city
13154,cook
70030,cook
68029,cook
13158,cook
13160,cook
13161,cook
13162,cook
13164,cook
13165,cook
13167,cook
13168,cook
13155,cook
13156,cook
13157,cook
15031,decide
70119,decide
15034,decide
15035,decide
15037,decide
15038,decide
15039,decide
15040,decide
65449,decide
65450,decide
15041,decide
15043,decide
15032,decide
15033,decide
65792,full
70029,full
23782,full
23771,full
23774,full
23775,full
23766,full
23776,full
23777,full
23778,full
23779,full
23767,full
23768,full
23769,full
28187,how
69370,how
70295,how
28205,how
28210,how
28201,how
28211,how
28212,how
28214,how
28202,how
28203,how
28204,how
30830,jacket
68079,jacket
30849,jacket
30831,jacket
30832,jacket
30833,jacket
30834,jacket
30835,jacket
30840,jacket
30843,jacket
66038,letter
70325,letter
68089,letter
32948,letter
32949,letter
32950,letter
32953,letter
32954,letter
32945,letter
32955,letter
32956,letter
32959,letter
32946,letter
32947,letter
66111,medicine
35454,medicine
35455,medicine
35456,medicine
35458,medicine
35460,medicine
35461,medicine
35452,medicine
35467,medicine
35453,medicine
37879,need
70237,need
37886,need
37887,need
37888,need
37889,need
37890,need
37881,need
37891,need
37894,need
37882,need
37883,need
37884,need
40816,paint
68125,paint
40840,paint
40841,paint
40842,paint
40843,paint
40834,paint
40845,paint
40847,paint
40835,paint
40836,paint
40837,paint
41008,paper
70211,paper
68127,paper
41030,paper
41032,paper
41033,paper
41034,paper
41025,paper
41035,paper
41037,paper
41026,paper
41027,paper
41028,paper
41029,paper
45252,pull
69439,pull
70378,pull
45265,pull
45267,pull
45268,pull
45269,pull
66351,pull
45261,pull
45271,pull
45273,pull
45262,pull
45263,pull
45264,pull
45432,purple
69440,purple
68137,purple
70247,purple
45438,purple
45439,purple
45440,purple
66355,purple
45443,purple
45433,purple
45434,purple
45435,purple
45436,purple
68142,right
48105,right
48124,right
48126,right
48106,right
48107,right
48108,right
48109,right
48114,right
48115,right
48117,right
48120,right
49173,same
49175,same
49176,same
49178,same
49181,same
49182,same
49183,same
49184,same
49185,same
49186,same
49188,same
49174,same
53258,son
70335,son
53273,son
53274,son
53275,son
53276,son
53277,son
66531,son
66532,son
53268,son
53279,son
53269,son
53270,son
53271,son
57273,tell
57278,tell
57282,tell
57283,tell
57284,tell
57285,tell
57276,tell
57286,tell
57287,tell
57288,tell
57289,tell
57291,tell
57277,tell
58359,thursday
70026,thursday
58362,thursday
58363,thursday
58365,thursday
58366,thursday
58367,thursday
58368,thursday
66637,thursday
66638,thursday
66639,thursday
66640,thursday
58370,thursday
58360,thursday
58361,thursday
61804,visit
61807,visit
61808,visit
61809,visit
61810,visit
61812,visit
61813,visit
66731,visit
61814,visit
61815,visit
61816,visit
61817,visit
61819,visit
61805,visit
61806,visit
62077,wait
62113,wait
62098,wait
62100,wait
62101,wait
62102,wait
62103,wait
62106,wait
66740,wait
62097,wait
62107,wait
62109,wait
62111,wait
62479,water
68179,water
70069,water
62505,water
62506,water
62507,water
62508,water
66752,water
62499,water
62510,water
62500,water
62501,water
62502,water
62503,water
63325,wife
70333,wife
63329,wife
63332,wife
63333,wife
63334,wife
66784,wife
66785,wife
63335,wife
63337,wife
63326,wife
63327,wife
63328,wife
64260,yellow
69545,yellow
68191,yellow
70240,yellow
64266,yellow
64268,yellow
64269,yellow
66819,yellow
64271,yellow
64261,yellow
64262,yellow
64263,yellow
64264,yellow
04614,backpack
04618,backpack
04619,backpack
04620,backpack
04624,backpack
65123,backpack
04616,backpack
04626,backpack
04627,backpack
04628,backpack
04629,backpack
04631,backpack
04617,backpack
65137,bar
05103,bar
05086,bar
05087,bar
05088,bar
05089,bar
05090,bar
05095,bar
05097,bar
05098,bar
05099,bar
05102,bar
07929,brother
69251,brother
07937,brother
07938,brother
07940,brother
07941,brother
65262,brother
07932,brother
07943,brother
07933,brother
07934,brother
07935,brother
07936,brother
09431,cat
69261,cat
09528,cat
09532,cat
09533,cat
09534,cat
65312,cat
65313,cat
09525,cat
09535,cat
09538,cat
09526,cat
65343,check
10184,check
10185,check
10186,check
10187,check
10188,check
10190,check
10192,check
10183,check
10193,check
10194,check
10195,check
10197,check
10199,check
10965,class
69270,class
68021,class
10974,class
10976,class
65364,class
10967,class
10968,class
10969,class
10970,class
10972,class
10973,class
14172,cry
14190,cry
14175,cry
14176,cry
14177,cry
14180,cry
14182,cry
14183,cry
65427,cry
14174,cry
14186,cry
14188,cry
16190,different
68034,different
16195,different
16198,different
16199,different
65480,different
16200,different
16201,different
16203,different
16191,different
16192,different
16193,different
16194,different
17317,door
70264,door
68038,door
17327,door
17330,door
17331,door
17332,door
65520,door
17324,door
17334,door
17336,door
17325,door
17326,door
25674,green
69353,green
70241,green
25692,green
25693,green
65854,green
25685,green
25695,green
25686,green
25687,green
25689,green
25690,green
26122,hair
68064,hair
26173,hair
26174,hair
26158,hair
26159,hair
26162,hair
26163,hair
65870,hair
26166,hair
26157,hair
26167,hair
26169,hair
26170,hair
26757,have
69360,have
68069,have
70221,have
26773,have
26775,have
26766,have
26777,have
26779,have
26767,have
26768,have
26832,headache
26835,headache
26836,headache
26837,headache
26839,headache
26840,headache
26841,headache
65881,headache
26842,headache
26843,headache
26844,headache
26846,headache
26833,headache
26834,headache
29628,inform
29648,inform
29649,inform
29655,inform
65940,inform
29646,inform
29656,inform
29657,inform
29659,inform
29661,inform
29647,inform
31841,knife
70320,knife
31843,knife
31844,knife
31848,knife
31849,knife
31850,knife
66000,knife
31856,knife
31842,knife
32373,laugh
32395,laugh
32398,laugh
32379,laugh
32380,laugh
32381,laugh
66016,laugh
32382,laugh
32383,laugh
32386,laugh
32377,laugh
32388,laugh
32389,laugh
32598,learn
68088,learn
70205,learn
32608,learn
32612,learn
32613,learn
66024,learn
32604,learn
32614,learn
32616,learn
32605,learn
32606,learn
32607,learn
37120,movie
68104,movie
37126,movie
37125,movie
37152,movie
37127,movie
37129,movie
37130,movie
45835,rabbit
45837,rabbit
45838,rabbit
45839,rabbit
45840,rabbit
45842,rabbit
45843,rabbit
45845,rabbit
45848,rabbit
45851,rabbit
45836,rabbit
46260,read
68138,read
70274,read
68139,read
46273,read
46266,read
46276,read
46267,read
46268,read
46269,read
46272,read
46712,red
69446,red
70239,red
46737,red
46738,red
46740,red
46731,red
46742,red
46732,red
46733,red
46734,red
48507,room
48509,room
48510,room
48511,room
48512,room
48513,room
48514,room
48516,room
66415,room
66416,room
48517,room
48518,room
48521,room
48797,run
48816,run
48798,run
48817,run
48818,run
48827,run
48800,run
48801,run
48809,run
48810,run
66473,show
70231,show
51347,show
51348,show
51353,show
51345,show
51355,show
51356,show
51357,show
51360,show
51346,show
51494,sick
69470,sick
68152,sick
51517,sick
51502,sick
51503,sick
51504,sick
51507,sick
66475,sick
51501,sick
51514,sick
51515,sick
52834,snow
69481,snow
70122,snow
52862,snow
52863,snow
52865,snow
66519,snow
66518,snow
52857,snow
52867,snow
52858,snow
52859,snow
52860,snow
56652,take
69500,take
56698,take
56699,take
56700,take
56701,take
56692,take
56702,take
56704,take
56705,take
56693,take
56694,take
57034,tea
68168,tea
70034,tea
57082,tea
57083,tea
57076,tea
57087,tea
57077,tea
57078,tea
57079,tea
57080,tea
57037,teacher
68166,teacher
57044,teacher
57045,teacher
57046,teacher
57047,teacher
57048,teacher
66593,teacher
57039,teacher
57051,teacher
57040,teacher
57041,teacher
57042,teacher
62728,week
70304,week
62746,week
62747,week
62748,week
62749,week
66759,week
62740,week
62750,week
62752,week
62741,week
62742,week
62743,week
63279,why
70213,why
63283,why
63284,why
63285,why
63287,why
63288,why
66781,why
63289,why
63292,why
63280,why
63281,why
63282,why
63574,with
69539,with
68186,with
63594,with
63596,with
66795,with
63587,with
63588,with
63589,with
63590,with
63592,with
63593,with
64049,write
69544,write
70261,write
64060,write
64061,write
64065,write
66815,write
64056,write
64066,write
64067,write
64068,write
64057,write
64058,write
64059,write
64303,yesterday
70347,yesterday
64307,yesterday
64308,yesterday
64309,yesterday
64311,yesterday
64312,yesterday
66821,yesterday
66822,yesterday
64313,yesterday
64315,yesterday
64304,yesterday
64305,yesterday
64306,yesterday
01457,again
70219,again
01466,again
01467,again
01468,again
01469,again
65032,again
01460,again
01471,again
01461,again
01462,again
01463,again
01464,again
04694,bad
69219,bad
04709,bad
04712,bad
04713,bad
04715,bad
04717,bad
65125,bad
04708,bad
04718,bad
04720,bad
04721,bad
04723,bad
04833,ball
69221,ball
04850,ball
04851,ball
04852,ball
04854,ball
04858,ball
65131,ball
04849,ball
04859,ball
04860,ball
04861,ball
04864,ball
05296,bathroom
05299,bathroom
05300,bathroom
05303,bathroom
05304,bathroom
05305,bathroom
65148,bathroom
05307,bathroom
05310,bathroom
05297,bathroom
05298,bathroom
06550,blanket
06553,blanket
06554,blanket
06555,blanket
06558,blanket
06559,blanket
65204,blanket
65205,blanket
06560,blanket
06563,blanket
06551,blanket
06552,blanket
08478,buy
69255,buy
08488,buy
08489,buy
08490,buy
65282,buy
08482,buy
08492,buy
08483,buy
08484,buy
08485,buy
08486,buy
65290,call
08706,call
08707,call
08713,call
08689,call
08690,call
08691,call
08692,call
08694,call
08701,call
08702,call
11552,coffee
70298,coffee
70033,coffee
68025,coffee
11566,coffee
65375,coffee
11558,coffee
11559,coffee
11560,coffee
11561,coffee
11563,coffee
11564,coffee
65377,cold
11638,cold
11622,cold
11623,cold
11624,cold
11625,cold
11627,cold
11628,cold
11621,cold
11633,cold
11634,cold
11635,cold
11704,college
68026,college
70206,college
11714,college
11715,college
11716,college
65379,college
11708,college
11718,college
11709,college
11710,college
11711,college
11713,college
13258,copy
13269,copy
13273,copy
13275,copy
65405,copy
13276,copy
13278,copy
13279,copy
13267,copy
13268,copy
14450,cute
14457,cute
14458,cute
14459,cute
65432,cute
14461,cute
14451,cute
14452,cute
14453,cute
14454,cute
14748,daughter
70334,daughter
14755,daughter
14756,daughter
14757,daughter
65443,daughter
14758,daughter
14760,daughter
14749,daughter
14750,daughter
14751,daughter
14752,daughter
14753,daughter
20064,example
20067,example
20068,example
20070,example
20071,example
20072,example
65652,example
65653,example
65654,example
20074,example
20075,example
20077,example
20066,example
21052,far
21073,far
21074,far
21075,far
21077,far
21078,far
65682,far
21069,far
21079,far
21081,far
21070,far
21071,far
21072,far
22071,first
70083,first
22086,first
22087,first
22094,first
65729,first
65730,first
65728,first
22085,first
22095,first
22096,first
22098,first
23567,friend
70342,friend
23574,friend
23575,friend
23576,friend
65782,friend
23578,friend
23568,friend
23569,friend
23570,friend
23572,friend
25037,good
69347,good
70259,good
25072,good
25073,good
25074,good
65835,good
25066,good
25076,good
25067,good
25068,good
25069,good
25070,good
26506,happy
70284,happy
26530,happy
26531,happy
26532,happy
26524,happy
26534,happy
26535,happy
26537,happy
26525,happy
26526,happy
26527,happy
27762,home
69366,home
70085,home
27772,home
27773,home
27765,home
27775,home
27766,home
27767,home
27768,home
27770,home
31896,know
31900,know
31901,know
31903,know
31904,know
31905,know
66002,know
31906,know
31907,know
31909,know
31897,know
31898,know
31899,know
32298,late
70297,late
32304,late
32306,late
32307,late
32308,late
66013,late
32300,late
32311,late
32312,late
32302,late
32303,late
32673,leave
32655,leave
32677,leave
66025,leave
32657,leave
32658,leave
32659,leave
32661,leave
32662,leave
32654,leave
32667,leave
32669,leave
33450,list
33475,list
33477,list
33479,list
33480,list
33481,list
66075,list
33472,list
33482,list
33484,list
33486,list
33473,list
33474,list
34002,lose
34004,lose
34005,lose
34006,lose
34007,lose
34008,lose
34012,lose
34013,lose
34014,lose
34015,lose
34017,lose
34018,lose
37575,name
69405,name
68106,name
37587,name
37588,name
37580,name
37590,name
37581,name
37582,name
37585,name
37586,name
39604,old
69419,old
39633,old
39624,old
39632,old
39635,old
39625,old
39626,old
39627,old
42196,person
68129,person
42227,person
42231,person
42232,person
42234,person
66280,person
42225,person
42236,person
42239,person
42226,person
43519,police
70198,police
43528,police
43529,police
66306,police
43522,police
43532,police
43533,police
43535,police
43523,police
43524,police
43525,police
44677,problem
44684,problem
44686,problem
44687,problem
44688,problem
44689,problem
66335,problem
44680,problem
44691,problem
44681,problem
44682,problem
44683,problem
47174,remember
68141,remember
70375,remember
47178,remember
47183,remember
66387,remember
47184,remember
47185,remember
47187,remember
47175,remember
47176,remember
47177,remember
50846,share
50855,share
50856,share
50857,share
66461,share
50849,share
50859,share
50860,share
50862,share
50850,share
50851,share
53290,soon
53295,soon
53296,soon
53300,soon
53301,soon
66533,soon
66534,soon
53292,soon
53302,soon
53304,soon
53305,soon
53293,soon
53294,soon
54548,stay
54561,stay
54562,stay
54563,stay
54554,stay
54564,stay
54565,stay
54567,stay
54555,stay
54556,stay
54557,stay
54558,stay
55768,sunday
70022,sunday
55773,sunday
55776,sunday
55777,sunday
55778,sunday
55779,sunday
55780,sunday
55782,sunday
55769,sunday
55770,sunday
55771,sunday
55772,sunday
57519,test
57530,test
57531,test
57534,test
57535,test
57536,test
57527,test
57541,test
57528,test
57529,test
58588,tired
68172,tired
58594,tired
58596,tired
58598,tired
58600,tired
58589,tired
58590,tired
58591,tired
58592,tired
58593,tired
59203,trade
59206,trade
59207,trade
59208,trade
59209,trade
59210,trade
59211,trade
59212,trade
59214,trade
59215,trade
59216,trade
59219,trade
59204,trade
59205,trade
59479,travel
68173,travel
59500,travel
59502,travel
